,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4
11870,17,Storm Spirit,111,Oracle,E,0.4769230769230769,0.4782608695652174,36.0,0.4444444444444444,Magic Wand,180.0,0.3469387755102041,Arcane Boots,92.0,0.75,Urn of Shadows,79.0,0.3333333333333333,Mekansm,231.0,0.8157894736842105,Guardian Greaves
11871,18,Sven,111,Oracle,E,0.4180790960451977,0.37924528301886795,36.0,0.3981042654028436,Magic Wand,180.0,0.3286384976525822,Arcane Boots,37.0,0.4821428571428572,Ghost Scepter,79.0,0.2844036697247707,Mekansm,214.0,0.3142857142857143,Tranquil Boots
11872,19,Tiny,111,Oracle,E,0.417910447761194,0.4645669291338583,36.0,0.5,Magic Wand,180.0,0.3932584269662922,Arcane Boots,79.0,0.4310344827586207,Mekansm,214.0,0.4883720930232558,Tranquil Boots,232.0,0.5232558139534884,Aether Lens
11873,20,Vengeful Spirit,111,Oracle,Q,0.6666666666666666,0.3721518987341772,36.0,0.3446327683615819,Magic Wand,180.0,0.3255813953488372,Arcane Boots,79.0,0.2688172043010753,Mekansm,232.0,0.4930555555555556,Aether Lens,31.0,0.125,Cloak
11874,21,Windranger,111,Oracle,E,0.5539906103286385,0.4830188679245283,36.0,0.5122699386503068,Magic Wand,180.0,0.4281045751633987,Arcane Boots,37.0,0.5526315789473685,Ghost Scepter,79.0,0.4057142857142857,Mekansm,31.0,0.3333333333333333,Cloak
11875,22,Zeus,111,Oracle,Q,0.3888888888888889,0.3642052565707134,36.0,0.3485254691689008,Magic Wand,180.0,0.291907514450867,Arcane Boots,31.0,0.02564102564102564,Cloak,79.0,0.3693181818181818,Mekansm,37.0,0.4310344827586207,Ghost Scepter
11876,23,Kunkka,111,Oracle,E,0.4769230769230769,0.42473118279569894,36.0,0.4761904761904762,Magic Wand,180.0,0.4126984126984127,Arcane Boots,79.0,0.3888888888888889,Mekansm,102.0,0.7586206896551724,Force Staff,31.0,0.6666666666666666,Cloak
11877,25,Lina,111,Oracle,E,0.5046728971962616,0.46545454545454545,36.0,0.4771784232365145,Magic Wand,180.0,0.4246575342465753,Arcane Boots,79.0,0.3644859813084112,Mekansm,31.0,0.25,Cloak,214.0,0.3577981651376147,Tranquil Boots
11878,26,Lion,111,Oracle,E,0.4679802955665024,0.4836193447737909,36.0,0.472027972027972,Magic Wand,180.0,0.3729508196721312,Arcane Boots,37.0,0.5942028985507246,Ghost Scepter,31.0,0.2105263157894737,Cloak,79.0,0.3656716417910448,Mekansm
11879,27,Shadow Shaman,111,Oracle,E,0.4745762711864407,0.47107438016528924,36.0,0.514018691588785,Magic Wand,180.0,0.42,Arcane Boots,37.0,0.5,Ghost Scepter,232.0,0.5869565217391305,Aether Lens,79.0,0.3454545454545455,Mekansm
11880,28,Slardar,111,Oracle,E,0.4029850746268657,0.37656903765690375,36.0,0.4215686274509804,Magic Wand,180.0,0.3407821229050279,Arcane Boots,37.0,0.4426229508196721,Ghost Scepter,79.0,0.3465346534653465,Mekansm,31.0,0.2727272727272727,Cloak
11881,29,Tidehunter,111,Oracle,Q,0.625,0.4791666666666667,36.0,0.4891304347826087,Magic Wand,180.0,0.4622641509433962,Arcane Boots,79.0,0.4354838709677419,Mekansm,37.0,0.5,Ghost Scepter,232.0,0.5822784810126582,Aether Lens
11882,30,Witch Doctor,111,Oracle,E,0.41,0.3325062034739454,180.0,0.3023255813953488,Arcane Boots,36.0,0.3251533742331288,Magic Wand,79.0,0.2952380952380952,Mekansm,232.0,0.375,Aether Lens,214.0,0.2461538461538462,Tranquil Boots
11883,31,Lich,111,Oracle,E,0.4225352112676056,0.3805309734513274,36.0,0.3578947368421053,Magic Wand,180.0,0.3720930232558139,Arcane Boots,79.0,0.4102564102564102,Mekansm,31.0,0.1428571428571428,Cloak,214.0,0.2972972972972973,Tranquil Boots
11884,32,Riki,111,Oracle,Q,0.5,0.41116751269035534,36.0,0.3956043956043956,Magic Wand,180.0,0.3733333333333334,Arcane Boots,79.0,0.3703703703703703,Mekansm,1.0,0.875,Blink Dagger,214.0,0.3414634146341464,Tranquil Boots
11885,33,Enigma,111,Oracle,E,0.3714285714285714,0.35714285714285715,36.0,0.3432835820895522,Magic Wand,180.0,0.2807017543859649,Arcane Boots,79.0,0.28125,Mekansm,232.0,0.4117647058823529,Aether Lens,41.0,0.6666666666666666,Bottle
11886,34,Tinker,111,Oracle,E,0.5416666666666666,0.4976958525345622,36.0,0.4623655913978494,Magic Wand,180.0,0.4285714285714285,Arcane Boots,79.0,0.4107142857142857,Mekansm,214.0,0.4468085106382979,Tranquil Boots,41.0,0.7777777777777778,Bottle
11887,35,Sniper,111,Oracle,E,0.5098039215686274,0.4678111587982833,36.0,0.4675324675324675,Magic Wand,180.0,0.4507042253521127,Arcane Boots,37.0,0.6,Ghost Scepter,79.0,0.4137931034482759,Mekansm,232.0,0.5176470588235295,Aether Lens
11888,36,Necrophos,111,Oracle,E,0.396551724137931,0.3860640301318267,36.0,0.3799126637554585,Magic Wand,180.0,0.2844036697247707,Arcane Boots,37.0,0.5952380952380952,Ghost Scepter,79.0,0.2695652173913043,Mekansm,214.0,0.37,Tranquil Boots
11889,37,Warlock,111,Oracle,E,0.4444444444444444,0.3523809523809524,36.0,0.4130434782608696,Magic Wand,180.0,0.3409090909090909,Arcane Boots,79.0,0.3333333333333333,Mekansm,214.0,0.2272727272727273,Tranquil Boots,232.0,0.4838709677419355,Aether Lens
