,herocompare,herocompare_name,itemhero,itemhero_name,skill,skill_WR,tandem_WR,item0,item_WR0,item_name0,item1,item_WR1,item_name1,item2,item_WR2,item_name2,item3,item_WR3,item_name3,item4,item_WR4,item_name4,item5,item_WR5,item_name5
47,50,Dazzle,1,Anti-Mage,W,0.5098039215686274,0.4758719541328237,63.0,0.4386937769562538,Power Treads,145.0,0.4877800407331975,Battle Fury,143.0,0.5242718446601942,Skull Basher,81.0,0.5253886010362694,Vladmir's Offering,147.0,0.5779260157671315,Manta Style,48.0,0.6706586826347305,Boots of Travel
48,51,Clockwerk,1,Anti-Mage,E,0.5714285714285714,0.4553941908713693,63.0,0.4164305949008499,Power Treads,145.0,0.4633879781420765,Battle Fury,147.0,0.5458015267175572,Manta Style,143.0,0.4791666666666667,Skull Basher,81.0,0.4878640776699029,Vladmir's Offering,48.0,0.5921787709497207,Boots of Travel
49,52,Leshrac,1,Anti-Mage,Q,0.5813953488372093,0.449468085106383,63.0,0.4083044982698962,Power Treads,145.0,0.4657142857142857,Battle Fury,143.0,0.4893617021276596,Skull Basher,147.0,0.5571428571428572,Manta Style,81.0,0.4893617021276596,Vladmir's Offering,48.0,0.6779661016949152,Boots of Travel
50,53,Natures Prophet,1,Anti-Mage,E,0.4333333333333333,0.36385087305332703,63.0,0.3096539162112932,Power Treads,145.0,0.3753799392097265,Battle Fury,143.0,0.4229074889867842,Skull Basher,81.0,0.4334061135371179,Vladmir's Offering,48.0,0.6589403973509934,Boots of Travel,147.0,0.4865591397849462,Manta Style
51,54,Lifestealer,1,Anti-Mage,E,0.5,0.4422187981510015,63.0,0.4091816367265469,Power Treads,145.0,0.4619883040935672,Battle Fury,143.0,0.5655737704918032,Skull Basher,48.0,0.7171717171717171,Boots of Travel,147.0,0.5924324324324325,Manta Style,81.0,0.512241054613936,Vladmir's Offering
52,55,Dark Seer,1,Anti-Mage,W,0.5545454545454546,0.4598337950138504,63.0,0.395985401459854,Power Treads,145.0,0.4763313609467456,Battle Fury,48.0,0.7301587301587301,Boots of Travel,139.0,0.872,Butterfly,147.0,0.575591985428051,Manta Style,81.0,0.4754601226993865,Vladmir's Offering
53,56,Clinkz,1,Anti-Mage,E,0.5,0.4201474201474201,63.0,0.39375,Power Treads,145.0,0.4335106382978723,Battle Fury,143.0,0.4651162790697674,Skull Basher,81.0,0.4787234042553192,Vladmir's Offering,147.0,0.5368248772504092,Manta Style,48.0,0.6363636363636364,Boots of Travel
54,57,Omniknight,1,Anti-Mage,Q,0.5644599303135889,0.5454990215264188,63.0,0.52275600505689,Power Treads,145.0,0.5666492420282279,Battle Fury,143.0,0.6377118644067796,Skull Basher,147.0,0.6660389202762084,Manta Style,81.0,0.6120591581342435,Vladmir's Offering,48.0,0.7484076433121019,Boots of Travel
55,58,Enchantress,1,Anti-Mage,Q,0.3793103448275862,0.4076147816349384,63.0,0.3571428571428572,Power Treads,145.0,0.4135071090047394,Battle Fury,81.0,0.4878048780487805,Vladmir's Offering,143.0,0.4189944134078212,Skull Basher,147.0,0.5079825834542816,Manta Style,48.0,0.6346153846153846,Boots of Travel
56,59,Huskar,1,Anti-Mage,Q,0.3883495145631068,0.3849624060150376,63.0,0.3354037267080746,Power Treads,145.0,0.3926868044515103,Battle Fury,143.0,0.4342105263157895,Skull Basher,48.0,0.6610169491525424,Boots of Travel,81.0,0.4734848484848485,Vladmir's Offering,147.0,0.5021186440677966,Manta Style
